date,open,high,low,close,volume,Symbol
2024-01-06 08:30:00,2233.42000000,2233.42000000,2229.56000000,2233.42000000,0.47360000,ETH-USD
2024-01-06 09:00:00,2233.45000000,2235.67000000,2232.15000000,2235.12000000,0.99840000,ETH-USD
2024-01-06 09:30:00,2233.23000000,2233.69000000,2231.82000000,2232.70000000,0.09630000,ETH-USD
2024-01-06 10:00:00,2230.75000000,2230.75000000,2229.56000000,2229.58000000,0.06100000,ETH-USD
2024-01-06 10:30:00,2231.45000000,2234.72000000,2229.64000000,2234.72000000,5.16310000,ETH-USD
2024-01-06 11:00:00,2231.46000000,2231.89000000,2227.95000000,2231.41000000,7.08640000,ETH-USD
2024-01-06 11:30:00,2233.42000000,2234.91000000,2230.98000000,2233.42000000,3.46900000,ETH-USD
2024-01-06 12:00:00,2233.42000000,2238.35000000,2233.42000000,2233.42000000,0.21050000,ETH-USD
2024-01-06 12:30:00,2233.42000000,2233.42000000,2226.05000000,2226.05000000,1.17890000,ETH-USD
2024-01-06 13:00:00,2231.40000000,2231.41000000,2225.68000000,2230.01000000,0.98810000,ETH-USD
2024-01-06 13:30:00,2231.00000000,2234.85000000,2229.76000000,2234.33000000,2.87600000,ETH-USD
2024-01-06 14:00:00,2234.79000000,2242.23000000,2234.20000000,2239.74000000,0.91320000,ETH-USD
2024-01-06 14:30:00,2240.19000000,2243.23000000,2236.09000000,2237.30000000,1.17000000,ETH-USD
2024-01-06 15:00:00,2238.72000000,2242.67000000,2238.72000000,2242.36000000,0.63770000,ETH-USD
2024-01-06 15:30:00,2243.04000000,2243.05000000,2239.48000000,2240.27000000,0.44970000,ETH-USD
2024-01-06 16:00:00,2240.78000000,2244.59000000,2239.27000000,2243.71000000,7.33010000,ETH-USD
2024-01-06 16:30:00,2240.28000000,2243.38000000,2238.00000000,2239.68000000,3.47000000,ETH-USD
2024-01-06 17:00:00,2239.68000000,2241.05000000,2237.40000000,2237.40000000,1.42460000,ETH-USD
